,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
0,Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,8501
1,Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,2,3,12092
2,Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,11171
3,Audi,Q5,2023,2.0,Electric,Manual,160971,2,1,11780
4,Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,2867
5,Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4,7242
6,Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1,11208
7,Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2,7950
8,Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4,9926
9,Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,5,6545
10,BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3,5863
11,Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3,11444
12,Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4,10842
13,Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1,4820
14,Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2,5981
15,Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1,9697
16,Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,14837
17,Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2,11576
18,Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3,2351
19,Mercedes,GLA,2021,1.5,Petrol,Manual,34640,2,1,11207
20,Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1,13374
21,Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2,8863
22,Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4,6266
23,Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2,7701
24,Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,3,4,12402
25,Kia,Sportage,2011,1.8,Diesel,Automatic,92188,2,4,8856
26,Audi,A3,2022,3.3,Electric,Manual,79350,5,3,14413
27,BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,5,3,10645
28,BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,3,12584
29,Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,4,9963
30,Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5,9327
31,Volkswagen,Passat,2008,3.5,Electric,Manual,88381,3,1,10232
32,Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,5,1,9327
33,Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,3,5,11696
34,Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,4,9150
35,Kia,Optima,2005,4.5,Petrol,Manual,18590,2,5,9728
36,Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,4,1,7231
37,Kia,Sportage,2000,1.4,Electric,Manual,167050,5,4,4159
38,Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4,6852
39,Audi,A4,2004,1.0,Petrol,Manual,94415,2,1,4411
40,Ford,Focus,2004,1.2,Electric,Manual,93645,3,3,6627
41,BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1,8690
42,Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,7879
43,Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3,9762
44,Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,11833
45,Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,6092
