Brand,Model,Year,Transmission,Mileage,Price
Kia,Rio,2020,Manual,289944,8501
Chevrolet,Malibu,2012,Automatic,5356,12092
Mercedes,GLA,2020,Automatic,231440,11171
Audi,Q5,2023,Manual,160971,11780
Volkswagen,Golf,2003,Semi-Automatic,286618,2867
Toyota,Camry,2007,Automatic,157889,7242
Honda,Civic,2010,Automatic,139584,11208
Kia,Sportage,2001,Semi-Automatic,157495,7950
Kia,Sportage,2014,Manual,98700,9926
Toyota,RAV4,2005,Manual,107724,6545
BMW,5 Series,2013,Automatic,296824,5863
Volkswagen,Golf,2009,Manual,42795,11444
Honda,CR-V,2007,Automatic,132875,10842
Hyundai,Elantra,2004,Semi-Automatic,188996,4820
Volkswagen,Golf,2003,Automatic,145921,5981
Volkswagen,Golf,2007,Automatic,60103,9697
Hyundai,Elantra,2017,Automatic,38133,14837
Volkswagen,Tiguan,2006,Manual,41161,11576
Kia,Rio,2000,Semi-Automatic,257427,2351
Mercedes,GLA,2021,Manual,34640,11207
Chevrolet,Equinox,2018,Automatic,21261,13374
Toyota,RAV4,2000,Semi-Automatic,41814,8863
Toyota,RAV4,2003,Manual,136662,6266
Ford,Explorer,2006,Manual,99921,7701
Mercedes,GLA,2016,Semi-Automatic,19868,12402
Kia,Sportage,2011,Automatic,92188,8856
Audi,A3,2022,Manual,79350,14413
BMW,3 Series,2017,Semi-Automatic,142701,10645
BMW,3 Series,2020,Semi-Automatic,210767,12584
Chevrolet,Equinox,2013,Automatic,121816,9963
Hyundai,Tucson,2007,Automatic,213643,9327
Volkswagen,Passat,2008,Manual,88381,10232
Chevrolet,Impala,2017,Automatic,183619,9327
Mercedes,GLA,2013,Semi-Automatic,80184,11696
Toyota,Corolla,2010,Automatic,132454,9150
Kia,Optima,2005,Manual,18590,9728
Audi,Q5,2013,Semi-Automatic,263411,7231
Kia,Sportage,2000,Manual,167050,4159
Ford,Fiesta,2017,Manual,277363,6852
Audi,A4,2004,Manual,94415,4411
Ford,Focus,2004,Manual,93645,6627
BMW,5 Series,2007,Manual,120491,8690
Honda,Civic,2000,Manual,56020,7879
Toyota,RAV4,2003,Automatic,131868,9762
Audi,Q5,2023,Manual,238306,11833
Ford,Focus,2011,Automatic,255372,6092
Audi,A4,2009,Manual,263797,3924
Hyundai,Elantra,2006,Manual,110280,8494
Audi,A3,2009,Automatic,111448,9271
Mercedes,GLA,2013,Manual,205005,5799
Mercedes,E-Class,2004,Semi-Automatic,175273,6694
Mercedes,GLA,2022,Manual,191466,10670
Ford,Focus,2008,Semi-Automatic,280713,4685
Honda,Civic,2015,Semi-Automatic,66777,11864
Kia,Optima,2020,Manual,88070,13538
BMW,3 Series,2011,Semi-Automatic,281020,6679
Chevrolet,Impala,2017,Semi-Automatic,22175,10556
Volkswagen,Passat,2003,Manual,287728,3245
Hyundai,Sonata,2007,Automatic,102907,11241
Honda,Civic,2005,Automatic,60316,8293
Toyota,Camry,2008,Automatic,188097,5538
Ford,Fiesta,2004,Automatic,85348,9093
Ford,Focus,2015,Automatic,100603,14887
Mercedes,C-Class,2007,Manual,147310,6953
Mercedes,GLA,2011,Manual,140263,8594
Volkswagen,Passat,2005,Semi-Automatic,155550,7689
Volkswagen,Golf,2000,Manual,237232,4355
Ford,Fiesta,2002,Semi-Automatic,272351,4252
Kia,Optima,2008,Manual,164879,7802
Hyundai,Tucson,2018,Manual,160349,9093
Hyundai,Elantra,2007,Manual,30793,7084
BMW,3 Series,2019,Automatic,6745,15065
Toyota,Camry,2007,Manual,23217,11635
Kia,Sportage,2017,Automatic,242456,9550
Hyundai,Sonata,2017,Automatic,152123,9957
Honda,CR-V,2022,Automatic,248894,10622
Mercedes,GLA,2007,Manual,76458,8970
BMW,X5,2017,Semi-Automatic,2020,14059
Hyundai,Sonata,2018,Automatic,121567,11568
Volkswagen,Golf,2023,Semi-Automatic,139477,11710
Ford,Fiesta,2007,Manual,53088,11638
Volkswagen,Tiguan,2020,Automatic,195565,9388
Audi,A4,2004,Semi-Automatic,141850,8263
Honda,Civic,2020,Manual,191397,10872
Hyundai,Tucson,2015,Manual,259533,7009
Mercedes,C-Class,2015,Automatic,197249,10255
Volkswagen,Passat,2007,Manual,272609,6547
Ford,Focus,2013,Manual,294516,3209
Kia,Sportage,2001,Manual,258813,2123
Toyota,Corolla,2014,Automatic,17100,13558
Kia,Optima,2017,Manual,197307,9853
BMW,X5,2007,Automatic,129851,9302
Mercedes,E-Class,2011,Semi-Automatic,261247,3975
Audi,Q5,2016,Semi-Automatic,121855,10962
BMW,3 Series,2011,Manual,107928,7841
Volkswagen,Passat,2011,Automatic,203960,9520
BMW,5 Series,2009,Manual,17260,11454
Audi,A3,2022,Semi-Automatic,275109,10997
Toyota,Corolla,2016,Semi-Automatic,203314,8633
Toyota,Corolla,2014,Automatic,190214,9795
Ford,Explorer,2013,Automatic,188195,12736
Audi,A4,2010,Manual,228204,5535
BMW,5 Series,2001,Semi-Automatic,66264,5374
Toyota,Camry,2022,Semi-Automatic,162696,13946
Chevrolet,Malibu,2005,Manual,191462,3970
Honda,Accord,2001,Manual,8958,8220
Hyundai,Elantra,2012,Manual,11213,11075
Honda,Accord,2003,Semi-Automatic,236022,6079
Chevrolet,Equinox,2019,Semi-Automatic,13333,14433
Mercedes,C-Class,2023,Semi-Automatic,274137,12117
Volkswagen,Passat,2010,Manual,8662,10326
BMW,3 Series,2018,Semi-Automatic,99243,11815
Ford,Fiesta,2013,Semi-Automatic,167809,9143
Honda,CR-V,2018,Semi-Automatic,180938,9881
Mercedes,C-Class,2018,Manual,66347,12173
Honda,Civic,2007,Manual,279031,2019
Chevrolet,Equinox,2013,Manual,63430,9531
BMW,3 Series,2014,Manual,191744,6565
Mercedes,E-Class,2023,Semi-Automatic,58107,14737
BMW,X5,2002,Manual,86763,7464
Volkswagen,Golf,2020,Automatic,257521,10249
Toyota,Corolla,2013,Manual,213052,7738
BMW,3 Series,2017,Semi-Automatic,117943,8741
Volkswagen,Tiguan,2008,Semi-Automatic,178837,9423
Toyota,Corolla,2002,Semi-Automatic,281616,2967
Chevrolet,Malibu,2013,Automatic,131485,8270
Audi,A4,2013,Manual,21399,13472
Mercedes,C-Class,2020,Semi-Automatic,148489,10830
Chevrolet,Equinox,2017,Manual,189399,10512
Volkswagen,Tiguan,2008,Semi-Automatic,179107,6417
Volkswagen,Passat,2015,Manual,220366,8892
Kia,Optima,2020,Manual,132200,12156
Chevrolet,Impala,2009,Automatic,151249,7075
Chevrolet,Impala,2009,Manual,184695,5106
Volkswagen,Golf,2001,Automatic,32602,9347
Audi,A3,2013,Manual,253611,8127
Toyota,RAV4,2020,Manual,187223,11655
Mercedes,E-Class,2004,Manual,232438,4651
Toyota,Camry,2019,Manual,114139,12217
Toyota,RAV4,2004,Automatic,79437,8511
Honda,Accord,2019,Manual,127801,9443
Toyota,Camry,2002,Automatic,23115,7237
Kia,Optima,2010,Automatic,26930,11961
